sbd,ten,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd
1000205,Sophia,8.2,9,8.8,,,,,,
1000206,Aiden,4.4,5,,,,,6.25,7.25,
1000207,Henry,7.8,8.5,7.4,,,,5.25,7,8
1000208,Isabella,8.2,9,7.6,,,,7.25,9,9
1000209,Ava,7.2,8.25,7.8,,,,6.5,6.75,7.75
1000210,Harper,8,5.75,8,8.75,3.25,3.25,,,
1000211,Aiden,8.4,6.25,8.2,3.25,8,8.75,,,
1000212,Noah,7.6,6.75,3.6,,,,3.5,7.25,8.5
1000213,Lucas,7.2,8.75,9.2,,,,8,7.5,9
1000214,Ava,7.2,7.5,6.8,,,,6.75,7.5,7.75
1000215,Emily,7,7.5,7.8,,,,5.25,7.25,8
1000216,William,8.4,8.75,9,,,,5.25,5.5,7.5
1000217,Mia,9.4,8.5,8.6,,,,7.25,6.25,8.75
1000218,James,8.4,6,9.4,,,,6.5,8.75,8.5
1000219,Charlotte,7.6,8.25,7.4,,,,7,6.5,8.25
1000220,Chloe,8,8,9,,,,7,6.75,7.75
1000221,Olivia,7.8,6.5,9,8.75,7.75,6,,,
1000222,Abigail,7,7,6.8,,,,7,6,7.5
1000223,Benjamin,6.6,8,3.2,,,,8.25,8,9
1000224,Harper,8.8,8.5,9,,,,7.25,5.5,6.75
1000225,Daniel,7.8,8,9.2,,,,6.5,6.5,8.25
1000226,Noah,7.4,9.25,9,,,,8.25,7.75,9.5
1000227,Ava,2.8,7.75,2.8,,,,7,6,8.5
1000228,Benjamin,7.6,7.75,9,,,,8.75,6.5,9
1000229,Jackson,7.2,6,8.2,8,5.75,3.25,,,
1000230,Emily,8,7.25,8.2,,,,9,7,8.75
1000231,Henry,2.6,5,,,,,5,3,
1000232,Sofia,8,6.75,5,6.75,8,4.5,,,
1000233,William,3.4,6,,,,,6.25,5,
1000234,Liam,9.2,6.25,8.2,9.25,6.25,4.5,,,
1000235,Liam,8,7.5,8.6,,,,6.75,6.5,8.5
1000236,Mia,7.2,8.25,6,,,,4.5,6.5,7.25
1000237,Chloe,7.6,6.5,8,,,,7.25,7,8.5
1000238,Henry,7.4,9,6.6,,,,8.25,7.5,9
1000239,Grace,7.8,7.25,9.6,,,,8,7.25,9
1000240,Grace,8.4,7,7.4,,,,4.5,7.5,7.5
1000241,Ava,8,9,7.8,,,,8,6.75,7.75
1000242,Amelia,7.8,7,8.4,,,,8.5,8,8.5
1000243,Isabella,8.4,8.75,9,,,,9,8,9
1000244,Ethan,8.4,7,8.4,9,4.75,4.25,,,
1000245,Henry,8.6,8.25,7.6,,,,6.25,5.75,8.25
1000246,Henry,7.2,8.5,6.8,,,,7.75,8.5,9
1000247,Emma,7.8,6,8.6,6.5,5.25,4,,,
1000248,Benjamin,6.8,8,8.2,,,,7.75,7.25,8.5
1000249,Mia,9,8.75,9.6,,,,7,9.25,9
1000250,Scarlett,8.8,6,9.2,8.75,6.5,3.5,,,
1000251,Ava,8.8,7.25,9.4,8.75,9.75,5.25,,,
1000252,Harper,5,6.25,3.2,,,,5.25,5.75,8
1000253,Samuel,8.4,8.5,8.2,,,,8.75,8,9.25
1000254,James,8.4,5.5,9,8,7.5,4.5,,,
1000255,Isabella,7.4,9,8.2,,,,7.25,8,8.5
1000256,Henry,8.2,7.75,8,3,8.25,5,,,
1000257,Abigail,7.4,8,8.6,,,,6.75,5.75,8.25
1000258,Emma,6.8,,5.2,4.5,4.5,,,,
1000259,Aiden,5.8,7.75,5.2,,,,7,6.5,6.5
1000260,Henry,8.2,6.75,8.4,6.5,5.5,5.25,,,
1000261,Abigail,8,7.5,7.8,,,,7.75,7.25,8
1000262,Sofia,4.8,6,4.6,,,,8,7.5,9
1000263,Jackson,7.6,6,6.2,5,6,4.25,,,
1000264,Emma,6.6,6.75,,,,,7.5,6.75,8.25
1000265,Oliver,7.6,6.75,7.4,,,,6.5,6.75,7.25
1000266,Henry,9,8,9.6,,,,7,7.25,7.75
1000267,Harper,2.4,7.25,3.4,,,,4.5,5.5,6.75
1000268,Mia,7,8.5,7,,,,7.5,7,8
1000269,James,1.6,4.75,,,,,6.5,6,
1000270,Grace,6.6,7.5,8.4,,,,7.25,6.25,8
1000271,Isabella,7.6,7.75,8.2,,,,6.75,6,8
1000272,Sophia,2.6,7.25,6,,,,9.25,9.25,7.5
1000273,Mia,7.6,6.25,9.2,7.25,5,4.5,,,
1000274,James,9,8,7.8,,,,8.25,7,8
1000275,Sophia,,6.5,,,,,5.75,6.5,
1000276,Liam,6.8,8,7.4,,,,8.25,7,9.75
1000277,Lucas,,4.75,,,,,5.75,6.25,
1000278,Daniel,8.6,7.25,8.2,8.25,6,5.75,,,
1000279,Harper,8.4,6.25,6.4,6.25,6.25,5.75,,,
1000280,Scarlett,7.4,6.75,3.4,,,,6.25,6.5,8
1000281,Mia,9,7.75,7.8,,,,6,6.75,8.75
1000282,William,7.6,7,5.4,,,,5,6.25,5.75
1000283,Charlotte,7.8,6.67,4,,,,4.75,6.75,7
1000284,Olivia,7,8.25,7.6,,,,6,7.5,8.25
1000285,Emily,9.2,6.5,9,9.25,7.75,6.25,,,
1000286,Emma,4.2,4,,,,,6.25,7.25,
1000287,Emily,7,8,9,,,,6,6.25,8.25
1000288,Harper,8.4,8.5,8.8,,,,7.75,7.5,8.5
1000289,Sofia,7.6,8.5,8.4,,,,4.25,6.5,7.75
1000290,Aiden,9,7.75,9.4,8.5,4.5,4.75,,,
1000291,Scarlett,7.2,7.75,7.2,,,,5.75,7,8
1000292,Sophia,6.8,6.5,7.4,4.5,3.75,3.75,,,
1000293,Olivia,8.8,5,9.2,7.5,2.5,4.5,,,
1000294,Scarlett,8.2,3.75,9.2,8.25,6.5,5,,,
1000295,Daniel,3.8,4.25,,,,,5.75,6.25,
1000296,Emily,8.8,6,9.2,4,8.25,4.25,,,
1000297,Ava,7.6,6,6.6,6,5,2.75,,,
1000298,Daniel,8.8,6.5,6.6,5.5,4.25,5,,,
1000299,Charlotte,6.4,6.75,7.6,,,,7.5,7.75,7.25
1000300,James,5,6,4.8,,,,6,5.25,7.25
1000301,Grace,7.8,5.25,7.8,7.75,3.75,4.25,,,
1000302,Oliver,6.6,5.75,8.6,,,,7.5,6,9
1000303,Isabella,6.4,7.75,7.8,,,,8.75,8.5,8
1000304,Daniel,7.4,7.25,7,,,,8.5,8.75,8
1000305,William,8.6,5.75,6,7,3.25,3.25,,,
1000306,Isabella,7.4,3,5.4,4,8,3,,,
1000308,Grace,3.8,5.5,3.6,,,,5,5.75,7.75
1000309,Oliver,6,5.25,5.2,,,,7.5,5.25,8
1000310,Amelia,6,6.5,,,,,5.25,6.5,6
1000311,Abigail,7.4,7.75,6.4,,,,5.5,7,8.25
1000312,Samuel,7.6,7.25,7.2,6.5,6,4.75,,,
1000313,Liam,8.8,7,6.4,7.75,6,4,,,
1000314,Grace,8.8,3.75,8.8,7.75,4.5,3.25,,,
1000315,Charlotte,8.8,7,8.6,8.5,6,5.25,,,
1000316,Amelia,8,8.5,8.6,,,,7.5,7.25,8.25
1000317,Mia,6,6.5,7.4,,,,6.5,6.5,7.75
1000318,James,6.8,6.25,,,,,8.5,7.5,
1000319,Grace,6,8.5,6.4,,,,7,4.75,8.25
1000320,Isabella,9.2,8,7.2,,,,7,7.75,7.25
1000321,Isabella,8,8.25,9.2,,,,,,
1000322,Mia,5.8,8,7.2,,,,7,7.5,7.5
1000323,Jackson,2.8,8.25,7.8,,,,8,6.5,7.25
1000324,Sophia,8.6,9.25,8.6,,,,8.75,8,9
1000325,Abigail,,5,,,,,5.25,6.25,
1000326,Grace,8.6,7.75,8.6,,,,7.75,7.75,8.75
1000327,William,8.6,6.25,,,,,6.25,7.25,9.25
1000328,Harper,6.8,7.5,8.6,,,,8.75,6.5,7.75
1000329,Aiden,8.4,5.75,8.8,5.75,4,4.5,,,
1000330,Olivia,3.6,5.25,2.8,,,,4,4.5,7.25
1000331,Ethan,8.8,8.5,7.6,,,,8,8,9
1000332,Ava,7.4,7.5,8.2,,,,4.5,6.75,7.75
1000333,Aiden,7.2,7.5,6,,,,6,7.5,7.25
1000334,Noah,8.2,8.25,8.8,,,,8.25,8.25,9.25
1000335,Samuel,5.4,5.75,7.8,,,,8.25,5.25,9
1000336,Elijah,7.4,8.25,8.6,,,,8.75,7.5,8
1000337,Evelyn,6.6,4.25,,,,,4.75,5.25,
1000338,Aiden,6.4,8,8.2,,,,5.75,5.25,7.5
1000339,Oliver,,2.5,,,,,4.25,6,
1000340,Emma,7.4,6.75,9.2,6,6,5,,,
1000341,Liam,7.2,7,7.4,,,,7.25,6.5,8.5
1000342,Noah,3,4.5,3,,,,4,5.25,8
1000343,Harper,,6,,,,,7.5,7,
1000344,Oliver,9.2,9,9.4,,,,9.5,9.25,9
1000345,Jackson,7.8,8.5,7.8,,,,7,6,7
1000346,Harper,7.4,7.5,8.6,,,,7.5,6.5,7.5
1000347,Chloe,5.6,7,5.4,,,,8,7.25,8.75
1000348,Evelyn,8.2,7.5,8,,,,8.25,8,8
1000349,Ava,7,5,6.6,,,,7,6.25,8.25
1000350,Amelia,7.2,8.75,6.8,,,,8.75,8.75,9
1000351,Amelia,8,8.5,6.6,,,,5.25,6,8.5
1000352,Harper,7.4,7,7.4,,,,6.5,7,8.5
1000353,Amelia,8.6,7.5,7,,,,6,5.25,7.5
1000354,Olivia,7.6,7.5,6.8,,,,7.25,6.75,8.25
1000355,Elijah,,3.5,,,,,3,5,
1000356,Amelia,6.6,6.25,6.6,,,,5.5,6.5,8.5
